dataset,classifier,splitter,train_size,train_time,eval_size,eval_time,classifier_size,accuracy,class,class_size,precision,recall
annealing,knn,ratiorange,135,0.00952,663,0.47179,233472,0.91252,4,0,,
annealing,knn,ratiorange,135,0.00952,663,0.47179,233472,0.91252,5,48,1.0,0.9166666666666666
annealing,knn,ratiorange,143,0.0101,655,0.46486,245760,0.91145,1,6,,0.0
annealing,knn,ratiorange,143,0.0101,655,0.46486,245760,0.91145,3,501,0.9021739130434783,0.9940119760479041
annealing,knn,ratiorange,143,0.0101,655,0.46486,245760,0.91145,2,74,0.9285714285714286,0.527027027027027
annealing,knn,ratiorange,143,0.0101,655,0.46486,245760,0.91145,U,27,0.9444444444444444,0.6296296296296297
annealing,knn,ratiorange,143,0.0101,655,0.46486,245760,0.91145,4,0,,
annealing,knn,ratiorange,143,0.0101,655,0.46486,245760,0.91145,5,47,1.0,0.9148936170212766
annealing,knn,ratiorange,151,0.01044,647,0.46099,258048,0.91036,1,6,,0.0
annealing,knn,ratiorange,151,0.01044,647,0.46099,258048,0.91036,3,495,0.8994515539305301,0.9939393939393939
annealing,knn,ratiorange,151,0.01044,647,0.46099,258048,0.91036,2,72,0.9302325581395349,0.5555555555555556
annealing,knn,ratiorange,151,0.01044,647,0.46099,258048,0.91036,U,27,1.0,0.5185185185185185
annealing,knn,ratiorange,151,0.01044,647,0.46099,258048,0.91036,4,0,,
annealing,knn,ratiorange,151,0.01044,647,0.46099,258048,0.91036,5,47,1.0,0.9148936170212766
annealing,knn,ratiorange,159,0.01097,639,0.45484,274432,0.92175,1,6,,0.0
annealing,knn,ratiorange,159,0.01097,639,0.45484,274432,0.92175,3,489,0.9149338374291115,0.9897750511247444
annealing,knn,ratiorange,159,0.01097,639,0.45484,274432,0.92175,2,72,0.9,0.625
annealing,knn,ratiorange,159,0.01097,639,0.45484,274432,0.92175,U,26,1.0,0.6538461538461539
annealing,knn,ratiorange,159,0.01097,639,0.45484,274432,0.92175,4,0,,
annealing,knn,ratiorange,159,0.01097,639,0.45484,274432,0.92175,5,46,1.0,0.9347826086956522
annealing,knn,ratiorange,167,0.01169,631,0.45257,286720,0.9271,1,6,,0.0
annealing,knn,ratiorange,167,0.01169,631,0.45257,286720,0.9271,3,482,0.9144486692015209,0.9979253112033195
annealing,knn,ratiorange,167,0.01169,631,0.45257,286720,0.9271,2,72,0.9777777777777777,0.6111111111111112
annealing,knn,ratiorange,167,0.01169,631,0.45257,286720,0.9271,U,26,1.0,0.6153846153846154
annealing,knn,ratiorange,167,0.01169,631,0.45257,286720,0.9271,4,0,,
annealing,knn,ratiorange,167,0.01169,631,0.45257,286720,0.9271,5,45,1.0,0.9777777777777777
annealing,knn,ratiorange,175,0.01229,623,0.4469,299008,0.91653,1,6,,0.0
annealing,knn,ratiorange,175,0.01229,623,0.4469,299008,0.91653,3,477,0.9063097514340345,0.9937106918238994
annealing,knn,ratiorange,175,0.01229,623,0.4469,299008,0.91653,2,71,0.9302325581395349,0.5633802816901409
annealing,knn,ratiorange,175,0.01229,623,0.4469,299008,0.91653,U,26,1.0,0.5384615384615384
annealing,knn,ratiorange,175,0.01229,623,0.4469,299008,0.91653,4,0,,
annealing,knn,ratiorange,175,0.01229,623,0.4469,299008,0.91653,5,43,1.0,1.0
annealing,knn,ratiorange,183,0.01256,615,0.44626,311296,0.92358,1,6,,0.0
annealing,knn,ratiorange,183,0.01256,615,0.44626,311296,0.92358,3,472,0.9191321499013807,0.9872881355932204
annealing,knn,ratiorange,183,0.01256,615,0.44626,311296,0.92358,2,70,0.9166666666666666,0.6285714285714286
annealing,knn,ratiorange,183,0.01256,615,0.44626,311296,0.92358,U,25,0.8947368421052632,0.68
annealing,knn,ratiorange,183,0.01256,615,0.44626,311296,0.92358,4,0,,
annealing,knn,ratiorange,183,0.01256,615,0.44626,311296,0.92358,5,42,1.0,0.9761904761904762
annealing,knn,ratiorange,191,0.01366,607,0.45075,327680,0.91269,1,5,,0.0
annealing,knn,ratiorange,191,0.01366,607,0.45075,327680,0.91269,3,466,0.9156626506024096,0.9785407725321889
annealing,knn,ratiorange,191,0.01366,607,0.45075,327680,0.91269,2,70,0.8913043478260869,0.5857142857142857
annealing,knn,ratiorange,191,0.01366,607,0.45075,327680,0.91269,U,24,0.7272727272727273,0.6666666666666666
annealing,knn,ratiorange,191,0.01366,607,0.45075,327680,0.91269,4,0,,
annealing,knn,ratiorange,191,0.01366,607,0.45075,327680,0.91269,5,42,1.0,0.9761904761904762
annealing,knn,ratiorange,199,0.01359,599,0.46649,339968,0.92487,1,5,,0.0
annealing,knn,ratiorange,199,0.01359,599,0.46649,339968,0.92487,3,459,0.9224489795918367,0.9847494553376906
annealing,knn,ratiorange,199,0.01359,599,0.46649,339968,0.92487,2,70,0.9183673469387755,0.6428571428571429
annealing,knn,ratiorange,199,0.01359,599,0.46649,339968,0.92487,U,24,0.8421052631578947,0.6666666666666666
annealing,knn,ratiorange,199,0.01359,599,0.46649,339968,0.92487,4,0,,
annealing,knn,ratiorange,199,0.01359,599,0.46649,339968,0.92487,5,41,1.0,1.0
annealing,knn,ratiorange,207,0.01521,591,0.43696,352256,0.89848,1,5,,0.0
annealing,knn,ratiorange,207,0.01521,591,0.43696,352256,0.89848,3,451,0.8997955010224948,0.975609756097561
annealing,knn,ratiorange,207,0.01521,591,0.43696,352256,0.89848,2,70,0.8809523809523809,0.5285714285714286
annealing,knn,ratiorange,207,0.01521,591,0.43696,352256,0.89848,U,24,0.7142857142857143,0.625
annealing,knn,ratiorange,207,0.01521,591,0.43696,352256,0.89848,4,0,,
annealing,knn,ratiorange,207,0.01521,591,0.43696,352256,0.89848,5,41,1.0,0.9512195121951219
annealing,knn,ratiorange,215,0.01503,583,0.43819,368640,0.91767,1,5,,0.0
annealing,knn,ratiorange,215,0.01503,583,0.43819,368640,0.91767,3,443,0.9140461215932913,0.9841986455981941
annealing,knn,ratiorange,215,0.01503,583,0.43819,368640,0.91767,2,70,0.9130434782608695,0.6
annealing,knn,ratiorange,215,0.01503,583,0.43819,368640,0.91767,U,24,0.8421052631578947,0.6666666666666666
annealing,knn,ratiorange,215,0.01503,583,0.43819,368640,0.91767,4,0,,
annealing,knn,ratiorange,215,0.01503,583,0.43819,368640,0.91767,5,41,1.0,1.0
annealing,knn,ratiorange,223,0.01566,575,0.43201,380928,0.93043,1,5,,0.0
annealing,knn,ratiorange,223,0.01566,575,0.43201,380928,0.93043,3,437,0.9324618736383442,0.9794050343249427
annealing,knn,ratiorange,223,0.01566,575,0.43201,380928,0.93043,2,68,0.8947368421052632,0.75
annealing,knn,ratiorange,223,0.01566,575,0.43201,380928,0.93043,U,24,0.8421052631578947,0.6666666666666666
annealing,knn,ratiorange,223,0.01566,575,0.43201,380928,0.93043,4,0,,
annealing,knn,ratiorange,223,0.01566,575,0.43201,380928,0.93043,5,41,1.0,0.975609756097561
annealing,knn,ratiorange,231,0.01597,567,0.47586,393216,0.93474,1,5,,0.0
annealing,knn,ratiorange,231,0.01597,567,0.47586,393216,0.93474,3,431,0.9358407079646017,0.9814385150812065
