dataset,classifier,splitter,train_size,train_time,eval_size,eval_time,classifier_size,accuracy,class,class_size,precision,recall
annealing,svm,ratiorange,167,0.01998,631,0.09537,57344,0.98732,U,26,1.0,1.0
annealing,svm,ratiorange,167,0.01998,631,0.09537,57344,0.98732,4,0,,
annealing,svm,ratiorange,167,0.01998,631,0.09537,57344,0.98732,5,45,1.0,1.0
annealing,svm,ratiorange,175,0.02258,623,0.09395,53248,0.98876,1,6,1.0,0.5
annealing,svm,ratiorange,175,0.02258,623,0.09395,53248,0.98876,3,477,0.9936974789915967,0.9916142557651991
annealing,svm,ratiorange,175,0.02258,623,0.09395,53248,0.98876,2,71,0.9466666666666667,1.0
annealing,svm,ratiorange,175,0.02258,623,0.09395,53248,0.98876,U,26,1.0,1.0
annealing,svm,ratiorange,175,0.02258,623,0.09395,53248,0.98876,4,0,,
annealing,svm,ratiorange,175,0.02258,623,0.09395,53248,0.98876,5,43,1.0,1.0
annealing,svm,ratiorange,183,0.0234,615,0.0932,53248,0.98862,1,6,1.0,0.5
annealing,svm,ratiorange,183,0.0234,615,0.0932,53248,0.98862,3,472,0.9936305732484076,0.9915254237288136
annealing,svm,ratiorange,183,0.0234,615,0.0932,53248,0.98862,2,70,0.9459459459459459,1.0
annealing,svm,ratiorange,183,0.0234,615,0.0932,53248,0.98862,U,25,1.0,1.0
annealing,svm,ratiorange,183,0.0234,615,0.0932,53248,0.98862,4,0,,
annealing,svm,ratiorange,183,0.0234,615,0.0932,53248,0.98862,5,42,1.0,1.0
annealing,svm,ratiorange,191,0.02427,607,0.09144,57344,0.99176,1,5,1.0,0.8
annealing,svm,ratiorange,191,0.02427,607,0.09144,57344,0.99176,3,466,0.9978401727861771,0.9914163090128756
annealing,svm,ratiorange,191,0.02427,607,0.09144,57344,0.99176,2,70,0.9459459459459459,1.0
annealing,svm,ratiorange,191,0.02427,607,0.09144,57344,0.99176,U,24,1.0,1.0
annealing,svm,ratiorange,191,0.02427,607,0.09144,57344,0.99176,4,0,,
annealing,svm,ratiorange,191,0.02427,607,0.09144,57344,0.99176,5,42,1.0,1.0
annealing,svm,ratiorange,199,0.02531,599,0.09048,57344,0.99165,1,5,1.0,0.8
annealing,svm,ratiorange,199,0.02531,599,0.09048,57344,0.99165,3,459,0.9978070175438597,0.9912854030501089
annealing,svm,ratiorange,199,0.02531,599,0.09048,57344,0.99165,2,70,0.9459459459459459,1.0
annealing,svm,ratiorange,199,0.02531,599,0.09048,57344,0.99165,U,24,1.0,1.0
annealing,svm,ratiorange,199,0.02531,599,0.09048,57344,0.99165,4,0,,
annealing,svm,ratiorange,199,0.02531,599,0.09048,57344,0.99165,5,41,1.0,1.0
annealing,svm,ratiorange,207,0.02653,591,0.08887,57344,0.99154,1,5,1.0,0.8
annealing,svm,ratiorange,207,0.02653,591,0.08887,57344,0.99154,3,451,0.9977678571428571,0.991130820399113
annealing,svm,ratiorange,207,0.02653,591,0.08887,57344,0.99154,2,70,0.9459459459459459,1.0
annealing,svm,ratiorange,207,0.02653,591,0.08887,57344,0.99154,U,24,1.0,1.0
annealing,svm,ratiorange,207,0.02653,591,0.08887,57344,0.99154,4,0,,
annealing,svm,ratiorange,207,0.02653,591,0.08887,57344,0.99154,5,41,1.0,1.0
annealing,svm,ratiorange,215,0.02816,583,0.08788,57344,0.99142,1,5,1.0,0.8
annealing,svm,ratiorange,215,0.02816,583,0.08788,57344,0.99142,3,443,0.9977272727272727,0.9909706546275395
annealing,svm,ratiorange,215,0.02816,583,0.08788,57344,0.99142,2,70,0.9459459459459459,1.0
annealing,svm,ratiorange,215,0.02816,583,0.08788,57344,0.99142,U,24,1.0,1.0
annealing,svm,ratiorange,215,0.02816,583,0.08788,57344,0.99142,4,0,,
annealing,svm,ratiorange,215,0.02816,583,0.08788,57344,0.99142,5,41,1.0,1.0
annealing,svm,ratiorange,223,0.02706,575,0.08651,57344,0.9913,1,5,1.0,0.8
